FIPS,State,County,Week,Date,Retail,Grocery,Parks,Transit,Work,Residential
,The Whole Country,The Whole Country,1,2/29/2020,12,7,21,7,4,-2
,The Whole Country,The Whole Country,1,3/1/2020,13,9,18,7,3,-1
,The Whole Country,The Whole Country,1,3/2/2020,7,6,10,2,3,-1
,The Whole Country,The Whole Country,1,3/3/2020,11,10,20,3,2,-1
,The Whole Country,The Whole Country,1,3/4/2020,8,6,17,2,3,-1
,The Whole Country,The Whole Country,1,3/5/2020,8,7,21,2,3,-1
,The Whole Country,The Whole Country,1,3/6/2020,5,3,12,2,2,-1
,The Whole Country,The Whole Country,2,3/7/2020,10,8,29,7,5,-1
,The Whole Country,The Whole Country,2,3/8/2020,10,7,40,5,2,-1
,The Whole Country,The Whole Country,2,3/9/2020,6,6,31,-1,0,0
,The Whole Country,The Whole Country,2,3/10/2020,6,7,18,-3,-2,1
,The Whole Country,The Whole Country,2,3/11/2020,8,10,26,-2,-1,0
,The Whole Country,The Whole Country,2,3/12/2020,6,23,19,-6,-3,1
,The Whole Country,The Whole Country,2,3/13/2020,2,26,4,-10,-7,3
,The Whole Country,The Whole Country,3,3/14/2020,-6,18,3,-10,-1,3
,The Whole Country,The Whole Country,3,3/15/2020,-9,12,5,-13,-7,3
,The Whole Country,The Whole Country,3,3/16/2020,-8,21,-1,-22,-20,8
,The Whole Country,The Whole Country,3,3/17/2020,-18,14,8,-26,-27,11
,The Whole Country,The Whole Country,3,3/18/2020,-24,8,6,-30,-31,13
,The Whole Country,The Whole Country,3,3/19/2020,-28,7,2,-36,-33,15
,The Whole Country,The Whole Country,3,3/20/2020,-32,5,-2,-37,-36,16
,The Whole Country,The Whole Country,4,3/21/2020,-40,-2,-3,-36,-24,12
,The Whole Country,The Whole Country,4,3/22/2020,-44,-13,-12,-44,-31,11
,The Whole Country,The Whole Country,4,3/23/2020,-38,-10,-23,-47,-41,17
,The Whole Country,The Whole Country,4,3/24/2020,-39,-12,-10,-46,-45,19
,The Whole Country,The Whole Country,4,3/25/2020,-40,-15,-7,-47,-46,19
,The Whole Country,The Whole Country,4,3/26/2020,-40,-14,3,-48,-47,20
,The Whole Country,The Whole Country,4,3/27/2020,-42,-16,-7,-49,-46,21
,The Whole Country,The Whole Country,5,3/28/2020,-48,-19,-25,-49,-34,15
,The Whole Country,The Whole Country,5,3/29/2020,-47,-22,-19,-51,-38,12
,The Whole Country,The Whole Country,5,3/30/2020,-40,-18,-15,-50,-48,19
,The Whole Country,The Whole Country,5,3/31/2020,-40,-16,-16,-49,-49,20
,The Whole Country,The Whole Country,5,4/1/2020,-37,-11,-7,-48,-49,20
,The Whole Country,The Whole Country,5,4/2/2020,-40,-11,-9,-51,-50,21
,The Whole Country,The Whole Country,5,4/3/2020,-42,-12,-21,-51,-50,22
,The Whole Country,The Whole Country,6,4/4/2020,-48,-15,-24,-50,-37,15
,The Whole Country,The Whole Country,6,4/5/2020,-49,-20,-20,-54,-40,13
,The Whole Country,The Whole Country,6,4/6/2020,-42,-16,-10,-52,-50,20
,The Whole Country,The Whole Country,6,4/7/2020,-42,-14,-2,-51,-51,21
,The Whole Country,The Whole Country,6,4/8/2020,-42,-15,-6,-51,-51,21
,The Whole Country,The Whole Country,6,4/9/2020,-43,-13,-21,-54,-52,22
,The Whole Country,The Whole Country,6,4/10/2020,-43,-13,-21,-54,-56,24
,The Whole Country,The Whole Country,7,4/11/2020,-45,-7,-16,-49,-38,14
1,Alabama,The Whole State,1,2/29/2020,15,10,55,20,5,-3
1,Alabama,The Whole State,1,3/1/2020,16,10,53,21,4,-2
1,Alabama,The Whole State,1,3/2/2020,8,4,-2,5,2,0
1,Alabama,The Whole State,1,3/3/2020,20,15,33,5,2,-1
1,Alabama,The Whole State,1,3/4/2020,7,0,-8,2,0,1
1,Alabama,The Whole State,1,3/5/2020,7,6,0,4,2,1
1,Alabama,The Whole State,1,3/6/2020,9,4,29,10,2,-1
1,Alabama,The Whole State,2,3/7/2020,12,8,63,18,7,-2
1,Alabama,The Whole State,2,3/8/2020,12,8,55,20,3,-1
1,Alabama,The Whole State,2,3/9/2020,10,8,45,9,2,-1
1,Alabama,The Whole State,2,3/10/2020,9,8,21,4,1,0
1,Alabama,The Whole State,2,3/11/2020,10,8,27,7,1,-1
1,Alabama,The Whole State,2,3/12/2020,10,22,43,8,1,-1
1,Alabama,The Whole State,2,3/13/2020,7,32,26,7,-2,0
1,Alabama,The Whole State,3,3/14/2020,1,28,55,12,4,0
1,Alabama,The Whole State,3,3/15/2020,-7,16,16,6,-4,2
1,Alabama,The Whole State,3,3/16/2020,-2,24,22,2,-10,4
1,Alabama,The Whole State,3,3/17/2020,-11,17,25,-1,-17,7
1,Alabama,The Whole State,3,3/18/2020,-13,13,39,-3,-22,8
1,Alabama,The Whole State,3,3/19/2020,-20,15,27,-8,-25,10
1,Alabama,The Whole State,3,3/20/2020,-27,10,7,-14,-29,14
1,Alabama,The Whole State,4,3/21/2020,-35,5,10,-13,-16,8
1,Alabama,The Whole State,4,3/22/2020,-40,-7,2,-22,-27,9
1,Alabama,The Whole State,4,3/23/2020,-33,-6,-11,-22,-33,14
1,Alabama,The Whole State,4,3/24/2020,-32,-5,4,-18,-34,15
1,Alabama,The Whole State,4,3/25/2020,-28,-4,36,-15,-36,13
1,Alabama,The Whole State,4,3/26/2020,-30,-3,32,-19,-36,14
1,Alabama,The Whole State,4,3/27/2020,-30,-2,30,-24,-37,16
1,Alabama,The Whole State,5,3/28/2020,-36,-2,22,-25,-22,9
1,Alabama,The Whole State,5,3/29/2020,-41,-13,19,-30,-32,9
1,Alabama,The Whole State,5,3/30/2020,-33,-10,10,-25,-38,14
1,Alabama,The Whole State,5,3/31/2020,-36,-11,-23,-26,-40,17
1,Alabama,The Whole State,5,4/1/2020,-25,5,19,-20,-39,14
1,Alabama,The Whole State,5,4/2/2020,-32,3,12,-25,-39,16
1,Alabama,The Whole State,5,4/3/2020,-29,12,17,-29,-40,16
1,Alabama,The Whole State,6,4/4/2020,-41,8,4,-33,-26,11
1,Alabama,The Whole State,6,4/5/2020,-50,-18,-1,-40,-36,12
1,Alabama,The Whole State,6,4/6/2020,-37,-10,3,-29,-41,16
1,Alabama,The Whole State,6,4/7/2020,-39,-11,-15,-31,-42,18
1,Alabama,The Whole State,6,4/8/2020,-36,-9,-1,-30,-43,17
1,Alabama,The Whole State,6,4/9/2020,-35,-4,5,-31,-43,18
1,Alabama,The Whole State,6,4/10/2020,-34,-4,4,-37,-48,20
1,Alabama,The Whole State,7,4/11/2020,-39,3,11,-35,-29,10
2,Alaska,The Whole State,1,2/29/2020,13,9,9,12,5,-2
2,Alaska,The Whole State,1,3/1/2020,18,14,6,16,5,-1
2,Alaska,The Whole State,1,3/2/2020,6,6,4,6,1,0
2,Alaska,The Whole State,1,3/3/2020,11,9,-2,3,3,0
2,Alaska,The Whole State,1,3/4/2020,11,8,3,8,3,0
2,Alaska,The Whole State,1,3/5/2020,9,7,9,4,2,0
2,Alaska,The Whole State,1,3/6/2020,9,4,10,9,0,1
2,Alaska,The Whole State,2,3/7/2020,12,10,17,9,3,-1
2,Alaska,The Whole State,2,3/8/2020,13,8,34,9,2,-1
2,Alaska,The Whole State,2,3/9/2020,7,4,14,3,-10,2
2,Alaska,The Whole State,2,3/10/2020,13,6,11,2,-7,2
2,Alaska,The Whole State,2,3/11/2020,12,9,16,3,-8,2
